0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 13727.7 1468.74 5065.01 0 896.738 6297.24
200 8887.86 994.122 0 0 917.26 6976.48
300 12294.4 585.307 3570.44 0 902.164 7236.45
400 8687.78 2.27374e-13 0 0 965.037 7722.74
500 12663.4 6031.44 60.0689 0 886.508 5685.36
600 10277.1 317.34 0 1820.63 952.467 7186.67
700 9462.78 969.141 2000 0 885.176 5608.47
800 12841.5 776.899 3577.68 0 942.245 7544.63
900 8222.33 9.09495e-13 0 0 960.066 7262.26
1000 10636 9.09495e-13 2000 1820.63 891.095 5924.26
1100 9198.55 9.09495e-13 2000 0 917.774 6280.78
1200 8989.4 2204.83 0 0 893.111 5891.45
1300 8974.35 543.227 2292.17 0 845.749 5293.2
1400 8831.87 32.2567 1785.88 0 906.068 6107.67
1500 7423.4 212.41 0 0 913.706 6297.28
1600 6843.46 1.02318e-12 0 0 900.537 5942.93
1700 7856.37 188.964 0 0 926.139 6741.27
1800 8689.95 9.09495e-13 1999.99 0 892.261 5797.69
1900 10209.7 9.09495e-13 1786.2 0 935.003 7488.47
2000 7093.28 0 0 0 888.122 6205.16
2100 8038.78 236.712 0 0 944.395 6857.67
2200 7659.36 0 0 0 926.87 6732.49
2300 7400.28 179.427 0 0 902.635 6318.21
2400 7165.03 838.002 0 0 861.902 5465.13
2500 7737.78 780.417 0 0 902.831 6054.53
2600 7507.72 242.377 496.781 0 881.883 5886.67
2700 7766.34 364.987 0 0 928.737 6472.62
2800 9842.84 139.867 2134.84 0 912.023 6656.1
2900 8883.69 235.574 0 0 960.557 7687.56
3000 25191.1 -7.95808e-13 17316.1 1820.63 846.421 5208.01
3100 10710.5 983.807 1996.81 0 936.07 6793.83
3200 8227.95 -9.09495e-13 0 0 937.74 7290.21
3300 10436.4 487.463 1896.1 0 925.392 7127.45
3400 9938.06 -9.66338e-13 1955.65 0 933.972 7048.44
3500 10685.5 -9.09495e-13 3243.63 1820.63 844.514 4776.69
3600 10888.4 -9.09495e-13 1608.28 1820.63 913.351 6546.14
3700 9101.83 1741.99 0 0 905.769 6454.07
3800 7915.87 -7.38964e-13 0 0 936.348 6979.53
3900 10370.7 -6.82121e-13 1955.9 0 934.007 7480.77
4000 12394.6 -7.95808e-13 4183.38 0 910.582 7300.64
4100 8808.44 84.9688 612.418 0 941.094 7169.96
4200 16348.6 -6.82121e-13 3964.73 5461.88 886.781 6035.23
4300 9236.02 1107.79 129.636 0 943.073 7055.52
4400 9529.47 -6.82121e-13 0 1820.63 934.474 6774.37
4500 8601.77 -6.82121e-13 0 0 955.308 7646.46
4600 11789 1302.24 1990.22 0 943.348 7553.21
4700 11577.4 -1.02318e-12 1999.99 1820.63 931.328 6825.5
4800 9064.41 527.349 1603.01 0 862.894 6071.16
4900 11177.7 161.87 3039.46 0 899.435 7076.94
5000 10592.5 122.398 420.025 1820.63 934.386 7295.08
5100 12250.8 1888.69 2134.42 0 912.489 7315.23
5200 8583.72 -9.66338e-13 0 0 953.262 7630.46
5300 8324.75 226.653 0 0 935.006 7163.09
5400 12299.4 3157.71 3170.28 0 857.542 5113.83
5500 6990.22 -1.19371e-12 0 0 888.854 6101.36
5600 6893.15 -1.13687e-12 0 0 900.063 5993.08
5700 8782.41 2361.75 0 0 887.755 5532.91
5800 9422.4 -9.09495e-13 2000 0 899.202 6523.2
5900 9570.85 -9.09495e-13 1209.28 0 927.908 7433.66
6000 17751.3 1180.87 8617.34 0 880.501 7072.57
6100 15454.7 679.732 6630.78 0 902.816 7241.41
6200 11219.1 263.521 1368.81 1820.63 910.46 6855.65
6300 8586.43 -9.09495e-13 0 0 953.569 7632.86
6400 7890.67 -9.09495e-13 0 0 935.048 6955.62
6500 7794.9 -9.09495e-13 0 0 948.536 6846.36
6600 8640.83 288.748 0 0 956.946 7395.14
6700 8411.98 -9.09495e-13 0 0 956.236 7455.75
