0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 7688.82 0 0 0 936.767 6752.05
200 10789.7 295.162 3202.81 0 919.142 6372.54
300 8390.14 0 10.2612 0 930.009 7449.87
400 9264.17 0 990.634 0 946.224 7327.31
500 9924.22 0 1956.11 0 910.648 7057.46
600 9494.62 0 2141.54 0 901.077 6452
700 8017.69 0 0 0 926.091 7091.6
800 8003.37 0 150.549 0 906.678 6946.14
900 9078.18 0 1277.91 0 900.454 6899.82
1000 11230.1 5.68434e-14 1999.99 1820.63 908.787 6500.7
1100 8847.46 74.3844 0 0 974.643 7798.43
1200 14528.9 302.629 6382.35 0 907.481 6936.43
1300 12249.2 35.4621 3973.33 0 913.953 7326.43
1400 11694.6 309.05 1999.96 1820.63 908.561 6656.43
1500 10133.3 35.4621 2054.78 0 891.031 7152
1600 8131.05 0 0 0 924.82 7206.23
1700 7559.01 0 0 0 909.844 6649.17
1800 9510.25 1649.17 0 0 922.475 6938.61
1900 7611.2 54.8305 0 0 912.675 6643.7
2000 10432.3 618.279 708.008 1820.63 893.192 6392.2
2100 10459.6 565.901 2000 1820.63 860.429 5212.6
2200 12927.7 1503.99 3999.52 0 902.29 6521.95
2300 7373.49 0 0 0 917.59 6455.9
2400 8569.35 2.27374e-13 0 0 951.63 7617.72
2500 8423.81 2.27374e-13 0 0 935.041 7488.77
2600 8281.42 2.27374e-13 0 0 918.689 7362.73
2700 9125.19 584.834 0 0 948.335 7592.02
2800 8810.24 610.591 0 0 947.204 7252.44
2900 8458.01 623.275 0 0 918.994 6915.74
3000 9099.17 -1.13687e-13 2000 0 884.204 6214.97
3100 9496.61 -1.7053e-13 1089.15 0 933.17 7474.29
3200 16798.6 1915.93 6769.87 0 899.162 7213.64
3300 9013.13 780.888 0 0 935.117 7297.13
3400 8280.29 -4.54747e-13 0 0 940.671 7339.62
3500 11657.5 -4.54747e-13 3625.57 0 915.448 7116.52
3600 12091.3 -4.54747e-13 4052.52 0 916.246 7122.55
