0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 12858.5 1.13687e-13 3692.48 1820.63 915.675 6429.68
200 10660.6 748.002 1628.62 0 941.713 7342.3
300 11489.4 2.27374e-13 1157.11 1820.63 961.16 7550.55
400 10015.8 -4.54747e-13 1959.15 0 926.43 7130.19
500 8874.35 -4.54747e-13 0 0 985.995 7888.35
600 12750.5 135.993 3066.8 1820.63 906.995 6820.13
700 8801.23 135.993 1960.56 0 884.899 5819.78
800 8045.21 135.993 0 0 940.346 6968.87
900 9786.78 -6.25278e-13 0 1820.63 946.13 7020.02
1000 8072.75 -6.25278e-13 0 0 923.726 7149.03
1100 8077.78 132.16 0 0 921.26 7024.36
1200 8531.16 -6.82121e-13 0 0 971.808 7559.35
1300 8812.12 -5.68434e-13 0 0 979.027 7833.09
1400 13165.4 -4.54747e-13 3967.82 1820.63 896.417 6480.51
1500 8429.85 -4.54747e-13 1388.62 0 899.744 6141.48
1600 8000.68 -4.54747e-13 0 0 929.421 7071.26
1700 9820.23 -4.54747e-13 1976.5 0 910.922 6932.81
1800 10581.4 1920.18 2000 0 894.71 5766.51
1900 7949.03 371.625 0 0 934.376 6643.03
2000 7555.93 169.748 0 0 906.662 6479.52
2100 13021.5 52.2376 3252.48 1820.63 920.948 6975.25
2200 9623.91 -4.54747e-13 1181.51 0 937.167 7505.23
2300 12529.1 -4.54747e-13 4170.64 0 927.556 7430.94
2400 13622.4 -4.54747e-13 3667.93 1820.63 933.337 7200.49
2500 12258.2 3311.95 2000 0 898.932 6047.34
2600 8459.36 -3.41061e-13 0 0 939.105 7520.26
2700 8560.3 -4.54747e-13 0 0 950.602 7609.7
2800 10264.8 -4.54747e-13 1985.98 0 918.389 7360.43
2900 8448.06 -4.54747e-13 0 0 937.814 7510.24
3000 13505.3 1474.04 3453.43 0 952.598 7625.28
3100 7526.51 -4.54747e-13 0 0 925.565 6600.95
3200 9717.35 680.115 1299.42 0 925.536 6812.28
3300 6968.32 -3.41061e-13 0 0 900.81 6067.51
3400 11974.9 -4.54747e-13 4541.8 0 910.855 6522.26
3500 10478.4 975.545 3866.02 0 834.075 4802.74
3600 12152.7 -4.54747e-13 3641.88 1820.63 880.202 5810
3700 15272.1 1053.14 3954.86 3641.26 862.796 5760.08
3800 9869.72 -4.54747e-13 0 1820.63 941.654 7107.44
3900 9023.18 689.202 0 0 948.138 7385.84
4000 12881.1 3045.05 3548.44 0 861.154 5426.48
4100 11819.1 -6.82121e-13 1999.97 1820.63 922.005 7076.49
4200 10173 1041.14 522.494 0 956.17 7653.21
4300 13104.6 -8.2423e-13 2033.09 3641.26 907.025 6523.23
4400 16760 709.843 7901.99 0 903.269 7244.86
4500 11876.8 -9.09495e-13 2000 1820.63 928.095 7128.06
4600 7889.79 -9.09495e-13 0 0 948.669 6941.13
4700 11494.3 16.4438 1808.45 1820.63 922.401 6926.34
4800 13900.9 2729.17 3767.79 0 887.645 6516.28
4900 7852.37 -9.09495e-13 0 0 937.774 6914.6
5000 8278.54 484.289 0 0 930.875 6863.38
5100 7961.5 -9.09495e-13 0 0 950.147 7011.35
5200 10661.8 1191.83 0 1820.63 917.455 6731.89
5300 8294.35 -7.95808e-13 0 0 951.601 7342.75
5400 8688.08 273.35 1999.98 0 871.343 5543.4
5500 11465.3 -9.09495e-13 4614.29 0 870.521 5980.44
5600 8763.2 -9.09495e-13 1989.1 0 893.865 5880.23
5700 8625.79 -4.54747e-13 0 0 958.029 7667.76
5800 8593.37 434.716 842.883 0 902.341 6413.43
5900 15009.7 434.716 5315.34 1820.63 892.718 6546.29
6000 8021.07 -4.54747e-13 0 0 951.278 7069.79
6100 11474.6 -4.54747e-13 3500.78 0 919.002 7054.8
6200 11363.4 1326.21 2286.62 0 892.619 6857.99
6300 7995.94 -6.82121e-13 0 0 950.231 7045.71
6400 10256.6 535.048 3977.87 0 843.731 4899.91
6500 6678.06 194.246 0 0 877.051 5606.76
6600 9544.19 194.246 417.046 1820.63 906.126 6206.15
6700 11154.4 194.246 3560.67 0 885.886 6513.57
6800 11237 262.823 2000 1820.63 903.177 6250.35
6900 10680.7 1627.77 1459.34 0 909.371 6684.2
7000 11175.9 536.982 557.084 1820.63 933.829 7327.37
7100 8057.8 -1.13687e-13 0 0 940.43 7117.37
7200 9975.68 -2.27374e-13 1916.18 0 926.012 7133.5
7300 11471.2 -2.27374e-13 3744.98 0 918.993 6807.25
7400 13526.8 1531.26 4380.81 0 873.949 6740.82
7500 8228 -2.27374e-13 0 0 946.195 7281.8
7600 8644.4 -2.27374e-13 0 0 960.136 7684.27
7700 10899.8 988.047 1727.49 0 936.58 7247.71
7800 8034.73 -1.98952e-13 0 0 919.148 7115.58
7900 8250.42 -2.27374e-13 0 0 915.112 7335.3
8000 11358.3 372.888 1307.64 1820.63 901.144 6955.98
8100 14270.7 134.308 6584.5 0 912.303 6639.57
8200 9249.41 -2.27374e-13 2215.66 0 911.931 6121.82
8300 8136.85 -2.27374e-13 72.0773 0 935.66 7129.11
8400 9675.84 -2.27374e-13 1652.83 0 922.267 7100.74
8500 7982.33 94.95 0 0 906.32 6981.06
8600 8169.82 243.474 0 0 910.914 7015.43
8700 9630.21 -1.7053e-13 1210.9 0 934.526 7484.78
8800 11343.2 -1.7053e-13 2946.72 0 931.915 7464.59
8900 10084 378.033 2000 0 909.345 6796.61
9000 7806.84 0 0 0 937.296 6869.54
9100 9171.99 0 673.127 0 943.611 7555.25
9200 9703.67 0 1174.54 0 947.059 7582.07
9300 8552.71 665.989 0 0 937.04 6949.68
9400 8619.61 303.025 0 0 940.107 7376.48
9500 8367.98 457.189 0 0 935.973 6974.82
9600 8257.96 0 184.18 0 944.752 7129.03
9700 11945.9 1249.57 3925.21 0 884.809 5886.28
9800 11228.6 100.599 1726.83 1820.63 934.906 6645.67
9900 9181.59 395.348 0 0 976.122 7810.12
10000 9409.33 382.008 1930.45 0 904.573 6192.3
10100 7904.6 0 0 0 945.407 6959.2
10200 11320.2 13.1971 2000 1820.63 921.33 6565.04
10300 7488.92 13.1971 0 0 921.97 6553.75
10400 8471.04 2.27374e-13 518.071 0 929.056 7023.92
10500 8318.86 2.27374e-13 0 0 949.367 7369.49
10600 9543.01 394.568 2000 0 888.054 6260.39
10700 11119.3 567.153 1994.46 1820.63 882.542 5854.54
10800 9106.09 872.444 0 0 950.664 7282.98
10900 7998.36 1.13687e-13 0 0 942.411 7055.95
11000 8319.36 679.602 0 0 917.888 6721.87
11100 8586.44 0 81.3229 0 944.324 7560.79
11200 11754.1 89.257 2665.86 1820.63 873.392 6304.97
11300 8575.08 5.68434e-14 0 0 952.28 7622.8
11400 8206.29 1.13687e-13 0 0 937.498 7268.79
11500 8360.72 107.633 1027.31 0 894.456 6331.32
11600 12785.6 299.848 1840.73 3641.26 901.954 6101.86
11700 11560.2 299.848 1810.46 1820.63 911.058 6718.25
11800 7851.52 8.52651e-14 0 0 922.406 6929.12
11900 8557.36 626.411 0 0 942.143 6988.81
12000 8502.51 626.411 0 0 935.663 6940.44
12100 8380.5 591.732 0 0 934.038 6854.73
12200 11882.1 591.732 1869.79 1820.63 911.456 6688.52
12300 8611.46 1.13687e-13 0 0 956.406 7655.05
12400 8516.77 1.13687e-13 0 0 945.651 7571.12
12500 13805.3 1.13687e-13 5489.51 0 922.646 7393.13
12600 8653.95 -1.98952e-13 0 0 961.216 7692.74
12700 7698.74 22.0659 0 0 909.134 6767.54
12800 8014.4 -4.54747e-13 0 0 940.626 7073.77
12900 9645.86 -4.54747e-13 1999.98 0 925.041 6720.84
13000 8316.9 314.023 0 0 924.476 7078.41
13100 10596.3 503.183 1972.15 0 934.91 7186.04
13200 10201 -4.54747e-13 2189.16 0 930.205 7081.6
13300 15166.5 -4.54747e-13 4719.73 3641.26 874.696 5930.77
13400 10599.7 544.529 1836.51 0 933.651 7285.06
13500 12154 -4.54747e-13 2934.59 1820.63 899.371 6499.44
13600 8192.33 287.557 265.029 0 917.91 6721.84
13700 11924 -4.26326e-13 3298.02 1820.63 895.781 5909.58
13800 12505.6 -4.54747e-13 3553.58 1820.63 892.578 6238.84
13900 8167.28 -4.54747e-13 824.044 0 916.916 6426.32
14000 8290.09 -4.54747e-13 0 0 960.301 7329.79
14100 8368.09 -4.54747e-13 0 0 951.871 7416.22
14200 10076.5 -4.54747e-13 1939.04 0 932.679 7204.79
14300 12439.9 727.103 0 3641.26 924.997 7146.59
14400 12997 1478.7 3638.42 0 902.485 6977.39
14500 8724.05 -5.11591e-13 267.893 0 938.739 7517.42
14600 8094.15 101.501 0 0 930.739 7061.91
14700 11421.2 101.501 1511.05 1820.63 930.192 7057.8
14800 10513.5 -4.54747e-13 2000 0 945.283 7568.25
14900 8790.72 -4.54747e-13 0 0 976.625 7814.1
15000 10740.1 169.349 2102.09 0 940.165 7528.48
15100 10854.2 -4.54747e-13 2272.51 0 953.026 7628.62
15200 11029.1 822.155 1716.35 0 942.667 7547.91
15300 8973.95 201.542 0 1820.63 905.489 6046.3
15400 8647.64 -7.38964e-13 0 0 960.503 7687.14
15500 9372.19 225.722 676.459 0 940.32 7529.69
15600 12196.1 1187.55 3086.73 0 876.832 7045
15700 15889.5 755.338 7894.85 0 884.35 6355
15800 10649.1 -3.41061e-13 1999.9 0 960.677 7688.51
15900 9571.39 1359.94 0 0 935.884 7275.57
16000 10780.2 -4.54747e-13 3208.24 0 889.007 6682.95
16100 9797.5 447.718 2000 0 901.146 6448.64
16200 9966.14 -3.97904e-13 1557.21 0 933.339 7475.6
16300 7170.02 -4.54747e-13 0 0 906.804 6263.21
16400 8208.95 -4.26326e-13 0 0 946.462 7262.49
16500 12016.9 2967.66 2000 0 901.72 6147.54
16600 8388.37 593.713 0 0 930.068 6864.59
16700 9006.93 1318.77 90.6348 0 913.913 6683.61
16800 8760.55 -4.54747e-13 0 0 973.235 7787.31
16900 9483.45 298.781 737.895 0 937.667 7509.11
17000 10203.1 -4.54747e-13 1728.4 0 940.851 7533.81
17100 8526.22 633.226 0 0 919.174 6973.82
17200 12358.6 -4.54747e-13 3916.62 0 937.117 7504.84
17300 10580.2 -4.54747e-13 1985.37 0 954.519 7640.29
17400 8368.01 -4.54747e-13 0 0 955.491 7412.52
17500 7899.91 -2.27374e-13 0 0 931.967 6967.94
17600 7385.7 -2.27374e-13 0 0 932.109 6453.59
17700 13144.3 138.919 6199.16 0 885.924 5920.28
17800 12396 -2.55795e-13 3588.88 1820.63 898.771 6087.77
17900 11889.4 133.969 1998.63 1820.63 935.103 7001.11
18000 7218.11 -2.27374e-13 0 0 916.526 6301.59
18100 8097.39 -1.7053e-13 0 0 954.79 7142.6
18200 9764.18 1784.03 1601.3 0 866.01 5512.85
18300 7273.19 142.123 0 0 910.295 6220.77
18400 12062.5 225.011 3395.91 1820.63 887.51 5733.41
18500 9577.07 -2.84217e-13 1117.06 1820.63 881.95 5757.43
18600 11619.1 -4.54747e-13 2324.76 1820.63 910.204 6563.49
18700 10165.1 -4.54747e-13 1915.78 0 934.873 7314.46
18800 7900.79 130.638 0 0 911.71 6858.44
18900 7432.33 52.2225 1999.99 0 822.131 4557.99
19000 8325.64 -5.40012e-13 0 0 958.31 7367.33
19100 9790.85 -4.54747e-13 1692.42 0 931.965 7166.47
19200 10005.9 128.918 1999.93 0 905.975 6971.03
19300 13637.3 -4.83169e-13 5724.13 0 910.242 7002.93
19400 9204.94 81.9625 747.51 0 959.538 7415.93
19500 9798.04 1407.97 0 0 961.216 7428.86
19600 10935.3 108.468 1994.11 1820.63 896.138 6115.93
19700 12546.1 -4.54747e-13 7405.95 0 816.401 4323.75
19800 8034.57 -4.54747e-13 0 0 952.066 7082.51
19900 8267.25 -4.54747e-13 0 0 939.641 7327.6
20000 13070 -4.54747e-13 4825.33 0 937.032 7307.64
20100 8432.58 -4.54747e-13 0 0 958.657 7473.92
20200 8358.73 -4.54747e-13 0 0 950.184 7408.54
20300 12009.8 1658.23 2303.91 0 914.127 7133.56
20400 12588.4 158.372 3519.42 1820.63 884.295 6205.68
20500 11164.4 1584.37 704.069 1820.63 910.008 6145.37
20600 8238.78 359.139 0 0 928.057 6951.58
20700 9666.86 1112.39 0 0 949.94 7604.53
20800 8086.73 2.27374e-13 0 0 933.645 7153.09
20900 8978.02 193.947 820.726 0 919.189 7044.16
21000 16064.3 3026.89 4300.89 1820.63 863.247 6052.6
21100 11825.9 1.13687e-13 1997.51 1820.63 928.456 7079.34
21200 11569.1 1.13687e-13 1997.57 1820.63 935.233 6815.67
21300 7713 226.942 0 0 908.293 6577.76
21400 10420.5 226.942 809.838 1820.63 917.604 6645.48
21500 7937.18 226.942 0 0 935.276 6774.96
21600 8308.83 226.942 0 0 939.949 7141.94
21700 8180.18 226.942 0 0 924.865 7028.38
21800 10177.8 1.42109e-13 1999.98 0 932.57 7245.28
21900 9681.42 1476.23 0 0 935.742 7269.45
22000 9453.26 784.623 0 0 962.876 7705.76
22100 8823.3 654.916 0 0 944.356 7224.03
22200 6565.62 0 0 0 875.371 5690.25
22300 8697 0 0 0 966.077 7730.92
22400 10213.7 0 1734.15 0 941.405 7538.11
22500 10586.1 33.5298 2118.56 0 936.204 7497.77
22600 7981.37 1.13687e-13 0 0 937.795 7043.58
22700 9912.83 1.13687e-13 1684.33 0 939.898 7288.6
22800 7851.63 1.13687e-13 0 0 925.792 6925.84
22900 7475.57 242.802 0 0 899.398 6333.37
23000 6458.2 242.802 52.4174 0 852.465 5310.51
23100 9589.74 2.55795e-13 1143.12 0 937.65 7508.97
23200 10432.7 435.486 2106.57 0 929.215 6961.42
23300 8123.85 5.68434e-14 0 0 952.245 7171.6
23400 6893.71 318.472 0 0 888.798 5686.44
23500 12728.7 3283.94 3773.59 0 836.396 4834.79
23600 8344.32 93.9534 0 0 932.556 7317.81
23700 10813.1 701.102 1999.8 0 916.529 7195.7
23800 9909.16 -9.09495e-13 1958.85 0 931.741 7018.57
23900 11347 732.175 1065.12 1820.63 939.19 6789.86
24000 15308.3 41.1442 7129.41 0 902.059 7235.66
24100 8408.33 41.1442 0 0 928.553 7438.63
24200 11525.9 -9.09495e-13 3443.5 0 912.251 7170.19
24300 9991.3 -1.13687e-12 1722.82 0 933.841 7334.64
24400 11444.1 -1.13687e-12 2000 1820.63 917.095 6706.34
24500 7828.97 269.356 130.542 0 898.79 6530.28
24600 13345.5 161.364 5975.67 0 909.166 6299.29
24700 12840.2 -1.13687e-12 5359.17 0 915.451 6565.59
24800 10277.4 -1.13687e-12 756.28 1820.63 933.363 6767.18
24900 6873.84 -1.13687e-12 0 0 885.808 5988.03
25000 8178.03 -1.13687e-12 0 0 948.059 7229.97
25100 8132.1 -1.13687e-12 0 0 946.897 7185.2
25200 11361.5 382.134 3140.98 0 902.106 6936.26
25300 9471.14 -1.19371e-12 1795.28 0 910.738 6765.12
25400 7492.2 -1.13687e-12 0 0 888.642 6603.55
25500 7267.89 -1.13687e-12 0 0 910.928 6356.96
25600 6607.67 -1.13687e-12 0 0 888.696 5718.98
25700 8374.07 -1.13687e-12 0 0 960.726 7413.35
25800 17196 1126.85 5192.53 3641.26 900.782 6334.57
25900 10695.3 -1.13687e-12 2000 1820.63 881.213 5993.44
26000 8430.66 -1.13687e-12 0 0 960.982 7469.68
26100 13229.6 1670.39 2000 1820.63 911.358 6827.21
26200 8539.77 -1.02318e-12 0 0 948.268 7591.5
26300 8858.69 571.967 0 0 945.528 7341.2
26400 10509.5 -9.09495e-13 1881.41 0 958.292 7669.82
26500 10140 -9.09495e-13 1999.91 0 929.05 7211.03
26600 12070.4 -9.09495e-13 3687.49 0 930.361 7452.59
26700 9721.43 698.633 1078.66 0 929.767 7014.37
26800 8429.48 -9.66338e-13 2000 0 880.756 5548.72
26900 8720.29 -9.09495e-13 0 0 968.704 7751.59
27000 9412.17 -9.09495e-13 1209.33 0 940.972 7261.87
27100 8738.31 -9.09495e-13 0 0 970.733 7767.58
27200 10403.9 -9.09495e-13 2182.02 0 928.002 7293.87
27300 10182.2 1803.73 0 0 951.15 7427.35
27400 9945.9 -9.09495e-13 1950.05 0 927.449 7068.4
27500 10503.9 -7.95808e-13 1966.61 0 947.982 7589.27
27600 11301.3 -7.95808e-13 1999.96 1820.63 923.115 6557.57
27700 8508.05 365.847 0 0 953.772 7188.43
27800 10518.5 -9.09495e-13 2222.96 0 920.313 7375.21
27900 12275.9 -9.09495e-13 3819.09 0 938.818 7518.03
28000 8326.42 -9.09495e-13 0 0 923.87 7402.55
28100 7616.59 -9.09495e-13 0 0 925.479 6691.11
28200 7999.38 -4.54747e-13 0 0 949.285 7050.09
28300 10280.5 -4.54747e-13 1999.11 0 940.61 7340.79
28400 7912.69 64.3665 35.2505 0 906.529 6906.55
28500 8448.98 -2.27374e-13 573.231 0 913.948 6961.8
28600 13619.6 855.108 4966.85 0 904.703 6892.98
28700 9930.18 -1.13687e-13 1997.69 0 946.024 6986.47
28800 9801.82 0 0 1820.63 924.73 7056.46
28900 7569.77 120.045 0 0 913.259 6536.47
29000 9756.23 -1.77636e-13 1717.31 0 941.591 7097.33
29100 16675.3 548.129 7276.78 1820.63 883.923 6145.85
29200 8132.32 -2.27374e-13 432.996 0 924.503 6774.82
29300 8477.45 619.574 432.996 0 914.089 6510.79
29400 8707.61 810.594 432.996 0 918.847 6545.18
29500 8315.12 -4.54747e-13 0 0 953.305 7361.82
29600 9940.55 413.914 1923.65 0 917.343 6685.65
29700 11414.7 63.2502 4404 0 885.779 6061.66
29800 6876.04 63.2502 0 0 896.475 5916.31
29900 10358.4 -7.38964e-13 1947.22 0 933.6 7477.61
30000 10830.9 652.945 1981.47 0 908.872 7287.58
30100 12313.7 814.43 3301.49 0 909.021 7288.72
30200 8503.43 -7.95808e-13 0 0 944.132 7559.3
30300 9187.76 795.874 0 0 948.277 7443.61
30400 8370.89 -7.38964e-13 0 0 945.866 7425.02
30500 8341.76 -7.38964e-13 0 0 942.519 7399.24
30600 11388.7 -6.82121e-13 2985.77 0 932.647 7470.25
30700 8261.37 -6.25278e-13 0 0 947.9 7313.47
30800 8559.09 496.196 34.1496 0 939.593 7089.15
30900 9966.67 83.8988 2000 0 942.133 6940.63
31000 13172.5 -6.82121e-13 1677.83 3641.26 917.683 6935.77
31100 7440.29 -9.09495e-13 561.374 0 890.727 5988.19
31200 9369.31 2429.96 0 0 901.381 6037.98
31300 8074.51 -9.09495e-13 0 0 955.968 7118.54
31400 7421.52 84.0522 0 0 921.852 6415.61
31500 10669 725.027 2954.19 0 903.324 6086.44
31600 8635.71 -6.25278e-13 1016.92 0 918.21 6700.58
31700 9623.09 154.813 1895.54 0 912.669 6660.07
31800 7627.57 -5.40012e-13 0 0 919.265 6708.3
31900 7717.98 -4.54747e-13 0 0 930.096 6787.88
32000 7261.46 -4.54747e-13 0 0 918.692 6342.77
32100 12357.7 1369.39 3825.36 0 883.179 6279.76
32200 13175.6 -4.54747e-13 1997.93 3641.26 920.621 6615.77
32300 7786.52 471.745 0 0 907.907 6406.87
32400 6405.48 -4.54747e-13 0 0 874.156 5531.32
32500 8997.28 -4.54747e-13 59.8258 1820.63 901.354 6215.47
32600 11257.1 57.0395 3021.88 0 926.978 7251.23
32700 11372 426.294 1924.47 1820.63 890.012 6310.58
32800 8390.19 149.586 0 0 934.109 7306.49
32900 9937.1 -8.52651e-13 1644.38 0 940.129 7352.59
33000 7393.88 -8.52651e-13 0 0 915.299 6478.58
33100 12145.2 -9.09495e-13 4046.39 0 929.119 7169.66
33200 7503 -9.09495e-13 0 0 921.207 6581.79
33300 9816.63 21.1722 1930.11 0 919.712 6945.63
33400 11871.1 -9.166e-13 2352.42 1820.63 899.831 6798.22
33500 17333.6 2581.46 5191.77 1820.63 908.039 6831.69
33600 11822 2143.1 2000 0 911.673 6767.26
33700 15136.7 3402.53 792.944 3641.26 900.998 6399.01
33800 8191.85 -4.54747e-13 0 0 941.444 7250.4
33900 9507.01 -4.54747e-13 1422.05 0 929.002 7155.96
34000 8234.16 -4.54747e-13 0 0 946.35 7287.81
34100 8191.14 -4.54747e-13 0 0 941.361 7249.77
34200 8224.68 -4.54747e-13 0 0 945.251 7279.42
34300 9815.32 -2.27374e-13 1957.15 0 934.147 6924.02
34400 9361.35 -2.27374e-13 1974.73 0 909.719 6476.9
34500 7941.41 -1.13687e-13 0 0 956.28 6985.13
34600 7265.38 0 0 0 912.879 6352.5
34700 12594.3 0 2000 3641.26 888.651 6064.45
34800 13049.3 649.751 3945.95 0 938.449 7515.17
34900 8469.96 -2.27374e-13 23.1965 0 937.666 7509.1
35000 8813.28 -2.27374e-13 0 0 979.157 7834.13
35100 8751.77 -3.12639e-13 0 0 972.248 7779.53
35200 9206.65 -4.54747e-13 0 1820.63 918.947 6467.08
35300 9959.42 -4.54747e-13 82.1682 1820.63 942.177 7114.45
35400 7841.43 -4.54747e-13 0 0 945.666 6895.77
35500 7623.99 -4.54747e-13 0 0 919.753 6704.24
35600 8632.9 -4.54747e-13 0 0 958.834 7674.06
35700 13320 1251.58 4331.36 0 912.38 6824.66
35800 10760.7 1782.61 636.742 0 925.585 7415.76
35900 12873.6 2745.89 1961.83 0 925.91 7240
