0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 7792.92 -2.27374e-13 44.3977 0 929.537 6818.99
200 8703.67 -2.27374e-13 148.974 0 949.965 7604.73
300 8529.06 -2.27374e-13 0 0 947.05 7582.01
400 8351.58 -1.7053e-13 0 0 959.609 7391.97
500 10431 -2.27374e-13 1819.17 0 956.446 7655.36
600 9998.77 0 1364.54 0 958.986 7675.25
700 8569.31 0 0 0 951.625 7617.68
800 9406.36 789.281 0 0 957.043 7660.03
900 7174.71 2.27374e-13 0 0 905.967 6268.74
1000 7454.53 329.751 0 0 918.028 6206.75
1100 10160.8 329.751 3454.19 0 883.266 5493.64
1200 7640.72 1.13687e-13 1532.07 0 872.673 5235.97
1300 7098.25 15.5569 0 0 906.315 6176.38
1400 9159.24 351.898 1842.17 0 900.439 6064.74
1500 8158.5 50.6924 0 0 943.93 7163.87
1600 13341.3 15.5569 5320.99 0 931.873 7072.89
1700 11647.4 1797.22 1964.49 0 917.852 6967.82
1800 9593.96 1376.46 0 0 943.326 7274.18
1900 12899.9 1.13687e-13 5202.91 0 913.664 6783.32
2000 8653.6 1.13687e-13 0 0 961.176 7692.42
2100 10958.7 662.548 1964 0 924.524 7407.59
2200 10700.6 1.13687e-13 2000 1820.63 863.894 6016.1
2300 8566.11 1.13687e-13 0 0 951.263 7614.85
2400 14617 2361.99 3938.27 0 922.751 7393.94
2500 11834.3 0 4131.37 0 900.359 6802.58
2600 12321.5 1402.16 3259.5 0 895.203 6764.6
2700 9310.62 210.077 1952.96 0 894.855 6252.73
2800 11360.5 242.226 1630.18 1820.63 942.576 6724.87
2900 7293.33 -2.27374e-13 0 0 906.029 6387.3
3000 9432.44 0 371.711 1820.63 899.486 6340.61
3100 11919.4 0 2026.89 1820.63 925.642 7146.24
3200 8188.97 0 152.76 0 921.471 7114.74
3300 8191.21 0 0 0 939.534 7251.67
3400 10180 2391.6 0 0 932.617 6855.79
3500 10960.4 683.422 1999.03 1820.63 867.926 5589.38
3600 10198.6 2586.89 0 0 910.961 6700.71
3700 8425.58 126.883 483.77 0 917.827 6897.1
3800 7701.53 159.022 0 0 925.068 6617.44
3900 9726.06 159.022 1979.62 0 930.487 6656.92
4000 11465 159.022 3460.73 0 919.361 6925.87
4100 9108.6 596.446 0 0 945.125 7567.03
4200 8551.85 2.27374e-13 0 0 949.642 7602.21
4300 8084.61 4.54747e-13 0 0 937.002 7147.61
4400 8528.64 4.54747e-13 0 0 947.003 7581.64
4500 16115.5 425.444 5751.31 1820.63 926.336 7191.77
4600 8656.37 4.54747e-13 0 0 961.489 7694.88
4700 10096 4.54747e-13 0 1820.63 937.414 7337.92
4800 14160.7 4.54747e-13 5667.47 1820.63 877.499 5795.14
