0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 7256.15 0 462.487 0 880.921 5912.75
200 8715.25 278.95 1999.98 0 866.765 5569.55
300 12307.4 1188.97 3396.9 0 908.263 6813.31
400 8128.85 1.98952e-13 0 0 938.804 7190.05
500 11603.9 808.553 1999.93 1820.63 904.241 6070.55
600 13480.2 1411.73 4491.06 0 892.173 6685.2
700 8140.79 4.54747e-13 0 0 958.877 7181.92
800 9890.59 529.158 2000 0 908.816 6452.61
900 8636.85 4.54747e-13 0 0 959.282 7677.57
1000 15319.2 2849.68 3408.24 1820.63 902.676 6337.98
1100 11974.7 1254.43 3956.73 0 880.834 5882.7
1200 12968.1 4.54747e-13 4865.43 0 897.99 7204.73
1300 8383.34 144.917 0 0 937.661 7300.76
1400 8305.55 5.68434e-13 0 0 945.413 7360.13
1500 11404.8 6.82121e-13 2907.76 0 943.403 7553.63
1600 11288.4 6.82121e-13 1912.17 1820.63 926.017 6629.61
1700 8215.11 203.526 0 0 918.202 7093.38
1800 8236.63 6.82121e-13 0 0 941.768 7294.86
1900 7293.17 6.82121e-13 0 0 905.038 6388.13
2000 12961.2 125.859 3709.03 1820.63 913.612 6392.11
2100 8135.61 6.82121e-13 0 0 941.874 7193.73
2200 11722.4 229.245 3395.17 0 919.013 7178.98
2300 15328.6 3299.72 3958.71 0 915.765 7154.38
2400 11203.6 51.7532 1806.44 1820.63 903.114 6621.69
2500 9442.84 1.13687e-12 0 1820.63 914.848 6707.36
2600 8643.54 1.13687e-12 0 0 960.038 7683.5
2700 8313.72 1.13687e-12 0 0 922.408 7391.31
2800 11799.1 494.933 2847.6 0 938.783 7517.76
2900 9420.7 1.13687e-12 982.481 0 936.689 7501.53
3000 8742.62 490.721 0 0 915.283 7336.62
3100 7897.48 287.865 60.1018 0 913.368 6636.14
3200 14952.7 276.612 4008.05 3641.26 885.532 6141.24
3300 9539.95 1526.5 0 0 945.051 7068.4
3400 11620 140.274 1999.96 1820.63 912.327 6746.79
3500 9991.81 487.857 967.671 0 947.872 7588.41
3600 8701.09 1.36424e-12 15.5177 0 964.788 7720.78
3700 14581.1 1.25056e-12 6491.09 0 896.512 7193.52
3800 9926.26 699.624 875.098 0 926.756 7424.78
3900 10311.5 1.36424e-12 2033.22 0 918.329 7359.97
4000 12271.9 1.47793e-12 3983.69 0 919.476 7368.78
4100 8279.17 1.36424e-12 0 0 918.429 7360.74
4200 8525.67 1.36424e-12 0 0 946.664 7579
4300 8524.12 1.36424e-12 0 0 946.488 7577.63
4400 10311.3 1055.23 1278.42 0 904.461 7073.23
4500 8477.92 1.36424e-12 0 0 941.223 7536.69
4600 11123.5 668.126 1981.79 0 940.727 7532.84
4700 10618.2 76.8637 2023.3 1820.63 884.636 5812.78
4800 9229.57 76.8637 2000 0 893.267 6259.44
4900 7159.21 76.8637 0 0 907.942 6174.4
5000 8613.85 76.8637 2095.81 0 887.285 5553.89
5100 6841.46 270.893 0 0 893.415 5677.15
5200 8088.87 1.39266e-12 0 0 937.734 7151.13
5300 8583.99 1.36424e-12 1341 0 911.739 6331.25
5400 7827.41 1.36424e-12 0 0 934.172 6893.24
5500 7756.53 196.261 0 0 912.183 6648.08
5600 9789.84 2201.76 0 0 929.554 6658.53
5700 8088.87 1.13687e-12 0 0 926.225 7162.64
5800 13154.9 1.13687e-12 3562.08 1820.63 906.583 6865.59
5900 12046.8 526.592 3466.95 0 913.307 7139.99
6000 7748.77 101.59 0 0 916.873 6730.31
6100 13657.6 795.701 3256.31 1820.63 919.362 6865.64
6200 10841.9 1.25056e-12 403.14 3641.26 900.554 5896.95
6300 15884.3 360.302 3999.07 3641.26 917.822 6965.89
6400 8343.66 9.09495e-13 0 0 950.798 7392.86
6500 10027.2 9.09495e-13 1436.37 0 954.068 7636.77
6600 10397.4 9.09495e-13 1999.26 0 932.106 7466.07
6700 12833.4 444.318 4121.92 0 917.044 7350.12
6800 10920.3 7.95808e-13 2467.52 0 938.349 7514.39
6900 14593.4 117.616 6362.7 0 899.2 7213.92
7000 14833 408.668 6091.36 0 924.621 7408.33
7100 9456.7 1527.08 0 0 942.088 6987.53
7200 7121.9 7.38964e-13 0 0 891.183 6230.71
7300 11114.9 6.82121e-13 1998.37 1820.63 896.78 6399.07
7400 11160.2 6.82121e-13 3721.12 0 883.401 6555.64
7500 6622.64 7.95808e-13 0 0 876.398 5746.25
7600 8171.9 1338.31 0 0 903.325 5930.27
7700 18821.1 1060.65 4929.92 5461.88 900.91 6467.77
7800 8541.96 7.95808e-13 0 0 948.518 7593.45
7900 7806.55 8.95284e-13 0 0 902.674 6903.87
8000 11149.8 1458.9 1967.27 0 911.246 6812.41
8100 14634.6 172.69 6509.49 0 919.899 7032.48
8200 11174.2 9.09495e-13 1382.67 1820.63 943.931 7026.97
8300 11939.7 4543.16 636.599 0 889.647 5870.25
8400 7586.42 188.7 0 0 922.752 6474.97
8500 9798.8 1.81899e-12 1555.23 1820.63 886.236 5536.71
8600 10013.3 1.81899e-12 2445.25 0 913.402 6654.61
