0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 10650.2 0 1247.44 1820.63 934.747 6647.42
200 11333.4 882.666 726.829 1820.63 943.891 6959.37
300 9178.07 530.048 0 0 960.546 7687.48
400 9034.35 892.425 0 0 943.734 7198.2
500 11437.8 2323.11 2000 0 905.754 6208.98
600 9897.53 737.732 691.193 0 940.16 7528.44
700 11592.7 2825.18 2000 0 901.44 5866.06
800 7529.33 0 0 0 904.832 6624.49
900 10213.5 0 744.299 1820.63 919.186 6729.4
1000 10630.2 881.844 592.006 1820.63 907.388 6428.31
1100 8530.97 1278.42 38.7932 0 910.727 6303.02
1200 13088.8 569.089 4877.42 0 911.906 6730.38
1300 8009.01 2.27374e-13 107.131 0 932.712 6969.17
1400 12036.5 443.418 2000 1820.63 940.373 6832.12
1500 9823.4 252.885 1855.35 0 928.82 6786.34
1600 10770.1 522.12 1741.28 0 944.51 7562.24
1700 10656.6 1050.7 608.83 1820.63 887.442 6289.03
1800 8059.95 0 0 0 935.359 7124.59
1900 10475.4 0 1850.35 0 957.949 7667.13
2000 11286.6 0 2762.17 0 946.518 7577.87
2100 15764.5 418.022 6981.65 0 928.28 7436.53
2200 19330.1 2401.43 9049.31 0 871.83 7007.5
2300 11369.6 1277.5 0 1820.63 943.484 7328
2400 8306.46 2.27374e-13 0 0 945.088 7361.37
2500 10974.5 2.27374e-13 2056.08 1820.63 902.07 6195.7
2600 7554.58 0 0 0 920.065 6634.52
2700 11418.2 2307.32 0 1820.63 909.714 6380.52
2800 14954 327.369 3656.32 3641.26 883.628 6445.47
2900 11304.8 1791.72 2564.09 0 895.174 6053.86
3000 7600.75 289.523 0 0 926.168 6385.06
3100 9521.61 716.666 1988.77 0 898.185 5917.99
3200 8227.85 0 0 0 940.655 7287.19
3300 9129.09 0 1124.59 0 938.631 7065.87
3400 9082.33 -5.68434e-14 280.684 0 977.852 7823.8
3500 8836.52 -1.13687e-13 415.743 0 951.489 7469.29
3600 21137.2 -1.13687e-13 13153.9 0 884.047 7099.26
3700 10052.6 -1.13687e-13 1675.36 0 929.704 7447.51
3800 9951.08 1600.07 0 0 926.695 7424.31
3900 10646.6 2716.31 0 0 939.043 6991.21
4000 10538.6 -2.84217e-14 2000 0 948.135 7590.46
4100 8173.71 0 0 0 945.536 7228.17
4200 8315.27 0 0 0 949.235 7366.03
4300 11123 829.09 672.034 1820.63 889.155 6912.05
4400 8566.67 0 0 0 951.326 7615.35
4500 10476.4 1394.62 1584.18 0 912.574 6585
4600 10236.7 40.9892 1764.58 0 935.882 7495.28
4700 15671.9 0 7325.67 0 926.148 7420.09
4800 15639.2 2589.93 4879.51 0 905.779 7263.99
4900 9368.27 171.387 0 1820.63 898.909 6477.35
5000 7452.54 -1.7053e-13 0 0 906.256 6546.29
5100 7765.12 141.78 0 0 919.406 6703.93
5200 10463.6 670.431 1970.85 0 907.667 6914.69
5300 8772.19 -2.27374e-13 0 0 974.544 7797.65
5400 8511.25 -4.54747e-13 0 0 945.023 7566.23
5500 10325.1 -4.54747e-13 1999.26 0 941.644 7384.21
5600 11029.2 549.039 2084.31 0 931.844 7464.04
5700 9554.19 -4.54747e-13 1999.99 0 919.519 6634.68
5800 8582.1 -4.54747e-13 0 0 953.078 7629.02
5900 11037.1 -4.54747e-13 3010.46 0 922.24 7104.38
6000 8020.26 -4.54747e-13 51.4549 0 915.458 7053.35
6100 8093.14 -4.26326e-13 0 0 930.015 7163.12
6200 7649.62 -4.54747e-13 0 0 924.396 6725.23
6300 6961.03 -4.54747e-13 0 0 896.097 6064.93
6400 15579.9 1468.33 4832.03 1820.63 906.833 6552.12
6500 12694 234.207 2701.41 1820.63 911.805 7025.93
6600 11253 -4.54747e-13 2860.57 0 931.444 7460.95
6700 10362.2 -3.41061e-13 1989.38 0 929.194 7443.58
6800 10096.6 -4.54747e-13 1971 0 900.654 7224.97
6900 11250.5 708.092 1991.14 0 949.572 7601.66
7000 9696.86 1419.03 2000 0 875.981 5401.86
7100 8905.26 730.308 0 0 958.125 7216.83
7200 8631.27 -4.54747e-13 0 0 980.449 7650.82
7300 12326 14.5986 2798.86 1820.63 918.397 6773.51
7400 10322.4 889.182 378.212 1820.63 908.793 6325.57
7500 8657.56 727.281 0 0 916.171 7014.11
7600 8205.25 173.917 0 0 928.039 7103.29
7700 10578.6 -4.54747e-13 1964.93 0 956.661 7657.04
7800 7998.48 8.1996 0 0 939.554 7050.72
7900 10458.2 -4.54747e-13 1953.89 0 944.232 7560.07
8000 8741.74 313.155 0 0 958.895 7469.69
8100 11195.6 730.901 1867.44 0 954.794 7642.44
8200 8503.96 -4.54747e-13 0 0 944.193 7559.77
8300 8898.54 640.013 0 0 941.034 7317.49
8400 9935.91 -4.54747e-13 1737.82 0 909.062 7289.03
8500 7390.24 -4.54747e-13 0 0 896.449 6493.79
8600 7620.71 -4.54747e-13 0 0 924.34 6696.37
8700 9648.75 -4.54747e-13 1972.04 0 898.664 6778.04
8800 9208.84 108.72 1999.97 0 919.32 6180.84
8900 6551.57 166.544 355.717 0 861.242 5168.07
9000 8895.66 -6.53699e-13 2000 0 901.22 5994.43
9100 8587.23 657.52 0 0 913.415 7016.3
9200 14338.3 -4.54747e-13 3351.62 3641.26 907.252 6438.16
9300 7052.64 0 0 0 910.385 6142.25
9400 10745.9 757.017 1977.75 0 930.26 7080.92
9500 7671.15 0 0 0 939.891 6731.26
9600 11023.6 0 1643.05 1820.63 912.026 6647.86
9700 7581.09 0 0 0 910.664 6670.43
9800 10141.3 810.662 1996.74 0 917.866 6416.05
9900 9410.46 180.109 1963.35 0 918.359 6348.64
10000 11408.9 1.7053e-13 3984.24 0 919.699 6504.97
10100 7027.64 1.7053e-13 0 0 910.99 6116.65
10200 9658.2 2568.08 0 0 901.454 6188.66
10300 11395.3 3015.76 1503.69 0 877.901 5997.93
10400 9758.76 1750.24 0 0 931.491 7077.03
10500 8338.35 0 0 0 956.16 7382.19
10600 10622.4 0 1937.97 0 964.656 7719.75
10700 7797.99 0 0 0 935.895 6862.1
10800 7540.43 0 0 0 923.427 6617.01
10900 11245.8 -1.7053e-13 2219.66 1820.63 911.433 6294.1
11000 9599.08 617.159 2000 0 911.215 6070.71
11100 6684.92 537.782 0 0 874.555 5272.58
11200 9555.66 537.782 0 1820.63 920.752 6276.5
11300 8005.87 537.782 0 0 925.036 6543.05
11400 8028.54 79.936 0 0 941.236 7007.36
11500 7934.54 0 0 0 939.579 6994.96
11600 10570.2 545.087 1999.99 0 925.576 7099.53
11700 7238.37 571.853 0 0 885.214 5781.3
11800 9052.57 -1.13687e-13 2000 0 896.186 6156.39
11900 10176.9 -1.13687e-13 1799.9 0 929.68 7447.33
12000 8468.35 -1.13687e-13 0 0 940.131 7528.22
12100 10169.1 517.477 1555.62 0 917.98 7178.01
12200 18054.2 794.336 9329.79 0 898.554 7031.55
12300 8305.68 90.0654 0 0 931.881 7283.73
12400 7738.08 -2.84217e-13 0 0 931.056 6807.02
12500 8276.37 -2.27374e-13 0 0 960.29 7316.07
12600 10997.1 -2.27374e-13 1602.31 1820.63 923.528 6650.59
12700 11551.7 38.3989 1999.97 1820.63 913.391 6779.32
12800 9506.9 811.869 991.033 0 918.709 6785.29
12900 12083.5 1411.49 1460.87 1820.63 890.827 6499.66
13000 8147.13 -2.27374e-13 0 0 935.661 7211.47
13100 8633.7 610.519 0 0 938.692 7084.49
13200 10914.9 126.997 2473.58 0 922.475 7391.82
13300 9350.12 608.67 410.676 1820.63 883.642 5626.5
13400 7519.59 -6.11067e-13 0 0 927.017 6592.57
13500 7978.11 -6.25278e-13 0 0 935.883 7042.22
13600 9991.89 -4.54747e-13 1597.12 0 949.284 7445.49
13700 8236.14 -4.54747e-13 0 0 931.011 7305.13
13800 8444.85 -4.54747e-13 0 0 955.021 7489.83
13900 7871.89 346.434 0 0 927.555 6597.9
14000 7376.74 -6.25278e-13 0 0 912.565 6464.17
14100 7746.06 11.5151 0 0 940.525 6794.02
14200 7440.12 -7.86926e-13 0 0 926.862 6513.25
14300 14093.9 626.359 3999.74 1820.63 894.88 6752.27
14400 9983.73 -7.95808e-13 148.193 1820.63 935.337 7079.57
14500 8382.25 134.598 0 0 937.281 7310.37
14600 9973.7 -9.09495e-13 1955.02 0 910.638 7108.04
14700 10000.7 1757.93 0 0 914.228 7328.54
14800 10870.1 963.645 0 1820.63 927.995 7157.87
14900 13902.7 2550.79 3079.68 0 917.626 7354.58
15000 7960.06 -9.09495e-13 0 0 936.938 7023.12
15100 8257.05 -9.09495e-13 0 0 950.243 7306.8
15200 8078.49 -7.38964e-13 0 0 949.176 7129.32
15300 8787.53 -7.95808e-13 0 0 976.267 7811.26
15400 13212.1 -7.95808e-13 4960.43 0 915.258 7336.43
15500 10376.8 -7.95808e-13 3566.92 0 878.786 5931.05
15600 8630.37 -7.95808e-13 118.412 0 945.103 7566.85
15700 11355.8 1028.57 3003.13 0 898.532 6425.59
15800 11617.6 38.3633 2900.75 1820.63 894.112 5963.78
15900 7523.66 38.3633 730.223 0 885.411 5869.66
16000 6083.31 38.3633 0 0 865.142 5179.81
16100 9530.34 443.942 4049.32 0 817.504 4219.57
16200 6292.45 443.942 0 0 855.347 4993.16
16300 8314.31 -6.25278e-13 0 0 972.008 7342.3
16400 12995.4 -9.09495e-13 3051.34 1820.63 922.233 7201.25
16500 9218.51 -1.13687e-12 621.578 0 954.76 7642.17
16600 11748.9 -1.13687e-12 1953 1820.63 920.994 7054.31
16700 8317.39 -1.13687e-12 0 0 956.138 7361.25
16800 10020.6 32.8541 1999.99 0 917.796 7069.96
16900 10042.8 693.752 1962.94 0 901.766 6484.33
17000 9451.92 -1.13687e-12 1477.69 0 918.453 7055.78
17100 8243.71 -1.11378e-12 0 0 930.607 7313.1
17200 15051.8 808.395 4511.06 1820.63 901.457 7010.3
17300 11027.2 -1.7053e-12 4001.02 0 877.819 6148.32
17400 14127 -1.7053e-12 7830.93 0 857.459 5438.6
17500 9591.47 -1.76215e-12 1784.76 0 933.508 6873.2
17600 12131.3 -1.7053e-12 1999.95 1820.63 954.217 7356.52
17700 8334.06 -1.7053e-12 0 0 956.905 7377.15
17800 9619.77 1274.92 0 0 958.148 7386.71
17900 9611.99 -1.81899e-12 1544.71 0 925.958 7141.32
18000 9371.97 1220.86 0 0 935.731 7215.38
18100 12101.4 2976.85 1989.73 0 879.292 6255.57
18200 7559.9 -1.81899e-12 0 0 911.652 6648.25
18300 8172 -1.81899e-12 0 0 931.279 7240.72
18400 23409.8 135.873 8671.59 7282.51 866.388 6453.48
18500 9966.2 240.411 1738.27 0 921.192 7066.32
18600 8284.35 135.873 0 0 940.004 7208.47
18700 9496.38 -1.9611e-12 1907.14 0 914.826 6674.41
18800 10898.2 -2.04636e-12 3375.28 0 906.829 6616.1
18900 11145.1 -2.04636e-12 1491.63 1820.63 918.211 6914.64
19000 9530.29 74.0942 827.996 0 958.302 7669.9
19100 11108.5 -1.80478e-12 3460.37 0 910.201 6737.96
19200 7649.28 -1.93268e-12 0 0 910.335 6738.95
19300 11622 319.394 1651.35 1820.63 922.814 6907.8
19400 12173 -2.04636e-12 3991.96 0 932.204 7248.8
19500 9287.7 880.448 0 0 958.308 7448.94
19600 8159.31 -2.16005e-12 0 0 952.149 7207.16
19700 8479.8 -2.16005e-12 0 0 973.055 7506.74
19800 8072.56 -2.16005e-12 367.423 0 934.025 6771.11
19900 7737.47 -2.27374e-12 0 0 937.889 6799.58
20000 8320.84 -2.27374e-12 0 0 954.643 7366.19
20100 11409.9 690.953 1862.94 1820.63 912.866 6122.51
20200 13872.7 630.497 3668.49 1820.63 910.435 6842.69
20300 8478.93 -2.50111e-12 48.287 0 935.823 7494.82
20400 7696.9 296.403 0 0 910.038 6490.45
20500 17255.3 931.26 6530.27 1820.63 901.061 7072.05
20600 11118.3 820.093 1864.99 0 954.384 7478.82
20700 8373.36 687.273 0 0 940.989 6745.1
20800 8947.58 -2.16005e-12 0 1820.63 902.586 6224.37
20900 10938.9 997.84 1754.56 1820.63 855.812 5510.05
21000 12034.2 1897.15 2710.94 0 866.841 6559.25
21100 11509.8 -2.16005e-12 3855.19 0 925.117 6729.45
21200 9354.72 -2.16005e-12 2000 0 898.564 6456.15
21300 12344.2 -2.16005e-12 3995.63 0 926.411 7422.12
21400 8420.15 -2.16005e-12 0 0 934.622 7485.52
21500 13617.4 -1.98952e-12 5433.98 0 907.367 7276.1
21600 12604.6 355.78 2897.74 1820.63 905.223 6625.21
21700 8042.48 -1.98952e-12 585.47 0 896.336 6560.67
21800 14068.4 860.438 6226.13 0 868.046 6113.77
21900 7582.41 -2.04636e-12 0 0 920.5 6661.91
22000 12415 1235.95 4646.28 0 844.134 5688.66
22100 9458.77 -2.04636e-12 1955.23 0 910.975 6592.56
22200 10289.7 -1.93268e-12 1988.34 0 941.685 7359.67
22300 12509.6 726.724 2316.92 1820.63 899.236 6746.07
22400 8003.44 31.2615 0 0 938.239 7033.93
22500 7011.43 114.097 0 0 876.912 6020.42
22600 7198.43 -1.76215e-12 0 0 914.479 6283.95
22700 11989.9 -1.81899e-12 3432.28 0 950.298 7607.32
22800 15594.7 1641.25 5817.61 0 901.844 7234.02
22900 10108.9 1255.74 990.366 0 911.908 6950.92
23000 12086.4 1097.5 0 3641.26 901.194 6446.41
23100 7216.17 -1.81899e-12 0 0 907.892 6308.28
23200 10811.2 497.655 2249.01 1820.63 875.622 5368.31
23300 7914.77 -1.81899e-12 2000 0 863.096 5051.68
23400 10493.6 2182.97 1999.52 0 880.207 5430.88
23500 12155.3 -1.81899e-12 2709.9 1820.63 915.05 6709.76
23600 8123.54 -2.04636e-12 0 0 952.539 7171
23700 10456.2 -2.04636e-12 1982.06 0 940.794 7533.36
23800 8240.87 -2.04636e-12 0 0 947.208 7293.66
23900 7921.31 291.551 0 0 915.967 6713.79
24000 8532.79 291.551 0 0 945.972 7295.27
24100 9865.8 296.978 1858 0 928.887 6781.94
24200 8497.68 291.551 0 0 941.904 7264.22
24300 13878.8 512.937 5317.93 0 923.476 7124.42
24400 8615.73 1055.4 269.424 0 923.611 6367.3
24500 10354.5 1377.15 1981.58 0 899.979 6095.81
24600 10196.4 400.105 1954.09 0 928.688 6913.55
24700 8694.69 930.802 0 0 919.381 6844.5
24800 9110.91 400.105 1999.97 0 878.916 5831.92
24900 10034.7 898.082 1985.18 0 900.419 6251.02
25000 8089.91 360.189 0 0 922.762 6806.96
25100 7825.67 -2.64322e-12 0 0 940.828 6884.84
25200 10344.7 522.825 1399.12 0 934.922 7487.84
25300 8349.5 -2.27374e-12 0 0 952.6 7396.9
25400 9549.97 -2.27374e-12 2000 0 913.165 6636.8
25500 7966.42 -2.27374e-12 0 0 936.832 7029.59
25600 11444.1 -2.27374e-12 2145.87 1820.63 906.666 6570.97
25700 9671.04 801.777 705.969 0 927.817 7235.48
25800 10224.4 -2.50111e-12 1933.36 0 942.612 7348.48
25900 16941.8 780.961 8082.59 0 918.334 7159.91
26000 12507.3 807.637 3932.83 0 915.62 6851.21
26100 10092.4 2563.61 0 0 914.679 6614.13
26200 9131.16 697.229 0 0 936.199 7497.74
26300 8751.03 -2.27374e-12 0 0 972.164 7778.86
26400 13164.2 -2.27374e-12 3214.81 1820.63 931.873 7196.92
26500 8035.81 -2.50111e-12 0 0 957.742 7078.07
26600 9446.23 -2.6148e-12 1940.39 0 915.307 6590.53
26700 12245.3 212.402 1948.26 3641.26 858.316 5585.11
26800 12504.1 -2.6148e-12 3999.03 1820.63 881.055 5803.36
26900 7365.93 -2.72848e-12 0 0 898.698 6467.23
27000 8671.92 1127.97 0 0 918.524 6625.43
27100 8638.39 -2.6148e-12 0 0 959.455 7678.93
27200 9504.87 207.081 0 1820.63 925.477 6551.68
27300 8585.22 -2.50111e-12 0 0 953.431 7631.79
27400 8491.06 -2.27374e-12 0 0 942.722 7548.34
27500 8960.62 1058.96 0 0 933.102 6968.56
27600 9403.95 605.278 1994.12 0 890.235 5914.32
27700 8708.8 -2.27374e-12 0 0 967.408 7741.39
27800 13229.7 -2.27374e-12 3495.11 1820.63 915.945 6998.05
27900 10465.6 1304.08 983.504 0 926.378 7251.68
28000 8578.57 -2.27374e-12 0 0 952.677 7625.9
28100 14941 63.2753 7346.07 1820.63 845.734 4865.3
28200 14854.4 4856.18 1804.6 0 908.548 7285.11
28300 9005.62 3.5046 1252.59 0 911.361 6838.17
28400 8144.55 155.343 0 0 944.193 7045.02
28500 14029.9 1875.62 4354.46 0 911.953 6887.86
