0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 10189.7 270.258 1915.17 0 947.847 7056.46
200 9787.4 729.054 1999.99 0 915.286 6143.07
300 8457.96 1.13687e-13 0 0 958.789 7499.17
400 12620.6 280.463 3976.83 0 928.113 7435.24
500 8557.22 0 0 0 950.253 7606.97
600 9433.25 0 1018.67 0 933.985 7480.6
700 11249.5 282.552 2000 1820.63 893.457 6252.86
800 11830.9 0 1999.3 1820.63 923.483 7087.46
900 12844.7 0 3992.76 1820.63 881.012 6150.32
1000 7093.45 260.541 0 0 898.769 5934.14
1100 8512.12 0 2000 0 887.14 5624.98
1200 8305.04 999.043 0 0 917.844 6388.15
1300 7379.27 0 0 0 924.795 6454.47
1400 8142.51 0 0 0 958.105 7184.4
1500 8134.65 -2.27374e-13 0 0 952.561 7182.09
1600 9925.38 -2.27374e-13 1993.59 0 925.413 7006.38
1700 11482.3 1114.76 1880.36 0 942.28 7544.9
1800 8285.98 0 0 0 948.671 7337.31
1900 10816.7 2489.82 0 0 943.581 7383.28
2000 11013.1 -2.27374e-13 1642.07 1820.63 926.072 6624.33
2100 8039.74 -3.41061e-13 0 0 942.914 7096.83
2200 13214.2 -4.54747e-13 3503.28 1820.63 927.02 6963.32
2300 8753.69 -4.54747e-13 177.258 0 952.434 7624
2400 8448.01 466.763 0 0 935.713 7045.53
2500 10451.1 -3.97904e-13 1545.73 1820.63 893.86 6190.92
2600 7634.18 417.341 0 0 910.49 6306.35
2700 9630.79 1173.97 1248.52 0 903.609 6304.69
2800 10615.3 -5.68434e-13 2000 1820.63 887.725 5906.97
2900 7687.18 -5.68434e-13 0 0 939.254 6747.93
3000 7992.36 -6.82121e-13 0 0 942.072 7050.29
3100 11865.8 386.277 3055.58 1820.63 857.879 5745.41
3200 10127.2 414.957 1979.16 0 929.306 6803.73
3300 9127.64 -5.40012e-13 1935.28 0 890.247 6302.11
3400 7344.69 -5.40012e-13 0 0 908.966 6435.73
3500 9478.16 -5.68434e-13 1687.85 0 898.917 6891.39
3600 10482.3 595.58 1999.01 0 910.449 6977.28
3700 8346.45 -5.68434e-13 0 0 943.55 7402.9
3800 15103.2 -5.68434e-13 3670.77 3641.26 911.227 6879.99
3900 7529.71 -5.68434e-13 0 0 909.82 6619.89
4000 8255.69 -5.68434e-13 0 0 958.171 7297.52
4100 10107.8 -5.11591e-13 1986.69 0 942.537 7178.55
4200 8486.43 -4.54747e-13 96.9678 0 931.108 7458.35
4300 14364.4 2217.74 2201.15 1820.63 921.95 7202.94
4400 11010.7 2018.47 1999.96 0 902.455 6089.8
4500 8997.57 -7.95808e-13 2000 0 908.385 6089.19
4600 7904.35 -7.95808e-13 0 0 954.696 6949.66
4700 8217.43 -1.10845e-12 0 0 964.974 7252.46
4800 6415.41 314.057 0 0 872.316 5229.03
4900 7469.39 580.063 0 0 907.614 5981.72
5000 9098.45 -9.09495e-13 731.224 0 957.151 7410.08
5100 8389.51 720.746 1302.33 0 882.738 5483.7
5200 8246.69 233.175 0 0 947.309 7066.21
5300 7857.96 -8.52651e-13 0 0 948.969 6908.99
5400 10085.4 884.82 0 1820.63 914.639 6465.35
5500 8257.75 240.597 0 0 937.134 7080.02
5600 8580.82 -9.09495e-13 0 0 952.932 7627.88
5700 8457.85 -9.09495e-13 0 0 938.932 7518.92
5800 10621.3 -9.09495e-13 2118.39 0 944.074 7558.85
5900 12428.2 -7.95808e-13 2429.64 1820.63 928.215 7249.77
6000 8291.99 -7.38964e-13 0 0 955.024 7336.96
6100 8611.16 -7.95808e-13 0 0 956.373 7654.79
6200 12128.4 -9.09495e-13 1457.84 3641.26 885.03 6144.29
6300 9034.52 -7.95808e-13 640.774 0 931.599 7462.15
6400 9941.35 -7.95808e-13 1750.17 0 908.261 7282.92
6500 11449 421.574 1121.52 1820.63 921.441 7163.82
