0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 9493.78 1111.87 0 0 954.616 7427.3
200 10452 1354.09 917.254 0 940.876 7239.76
300 8052.96 0 0 0 925.996 7126.97
400 8449.56 475.904 0 0 941.582 7032.08
500 7641.99 0 0 0 913.513 6728.48
600 7766.83 0 0 0 928.434 6838.39
700 7679.4 0 0 0 917.996 6761.41
800 7675.26 -1.13687e-13 0 0 921.034 6754.23
900 8225.45 251.842 0 0 927.793 7045.82
1000 10144.7 0 1622.1 0 946.311 7576.25
1100 10276.7 1594.42 300.769 0 930.194 7451.3
1200 12190.9 0 3955.61 0 913.369 7321.96
1300 10185.8 2044.7 223.963 0 934.348 6982.8
1400 9528.29 -2.27374e-13 614.855 1820.63 898.647 6194.16
1500 11081 -2.27374e-13 3595.02 0 902.952 6583.06
1600 9753.4 121.915 1998.41 0 902.166 6730.91
1700 7907.94 -5.68434e-13 0 0 936.075 6971.86
1800 8494.24 -4.54747e-13 0 0 943.085 7551.16
1900 13262.2 380.923 2000 3641.26 886.007 6354.05
2000 11405.8 -4.54747e-13 2000 1820.63 922.34 6662.8
2100 13932.9 -4.54747e-13 3983.08 1820.63 938.395 7190.82
2200 9303.09 1176.13 0 0 938.133 7188.83
2300 8471.24 -4.54747e-13 66.2527 0 952.12 7452.87
2400 10710.3 1290.67 1999.11 0 891.184 6529.32
2500 7771.87 -4.54747e-13 0 0 931.143 6840.73
2600 10766.5 486.964 2000 1820.63 878.93 5579.93
2700 11002.5 2278.48 0 0 969.126 7754.91
2800 7883.94 -4.54747e-13 0 0 929.36 6954.58
2900 10700.5 -4.54747e-13 2196.14 0 944.238 7560.12
3000 12093.8 717.642 3610.22 0 909.847 6856.07
3100 8532.23 -4.54747e-13 0 0 947.411 7584.82
3200 8502.38 -4.54747e-13 0 0 944.013 7558.37
3300 8626.72 -4.54747e-13 0 0 958.135 7668.59
3400 8786.32 -4.54747e-13 0 0 976.132 7810.19
3500 9919 1666.62 0 0 947.955 7304.42
3600 11363 137.988 2916.36 0 921.824 7386.81
3700 17671.1 -4.54747e-13 9561.78 0 898.753 7210.53
3800 8142.99 -4.54747e-13 0 0 948.023 7194.96
3900 8245.74 -4.54747e-13 0 0 946.727 7299.01
4000 9567.44 -4.54747e-13 1994.98 0 903.945 6668.52
4100 14541.3 17.7888 7005.14 0 897.415 6620.91
4200 8304.04 -4.54747e-13 579.934 0 922.127 6801.98
4300 10868 -4.54747e-13 3970.44 0 887.687 6009.84
4400 11464.6 618.052 3583.92 0 891.483 6371.14
4500 10405.4 1954.28 1922.1 0 859.552 5669.51
4600 12869.7 -4.54747e-13 3323.64 1820.63 920.802 6804.62
4700 13151.7 1216.79 1981.99 1820.63 931.031 7201.27
4800 10167.8 176.214 1998 0 932.858 7060.78
4900 8299.51 176.214 0 0 948.03 7175.27
5000 9096.07 1228.62 0 0 928.549 6938.9
5100 11086.3 121.197 1732.84 1820.63 905.334 6506.29
5200 9864.33 178.79 1923.89 0 912.288 6849.36
5300 13261.7 255.836 3731.04 1820.63 908.186 6545.98
5400 7614.79 255.836 0 0 930.923 6428.03
5500 11591.7 -8.2423e-13 1300.98 1820.63 964.066 7506.04
5600 8032.48 -7.95808e-13 0 0 949.991 7082.49
5700 8406.79 -9.09495e-13 2000 0 887.093 5519.7
5800 13428.7 2519.66 3969.59 0 875.746 6063.73
5900 11094.2 -8.81073e-13 2716.16 0 929.801 7448.26
6000 8756.2 -9.09495e-13 0 0 972.746 7783.45
6100 10029.6 482.733 1790.59 0 913.089 6843.17
6200 8614.2 -8.2423e-13 0 0 956.717 7657.48
6300 8628.01 305.037 0 0 956.611 7366.36
6400 9102.69 117.112 1020.43 0 928.62 7036.53
6500 6978.7 117.112 0 0 898.019 5963.57
6600 10455 403.367 1982.76 1820.63 877.483 5370.77
6700 11792.7 -5.68434e-13 1988.25 1820.63 923.968 7059.88
6800 21245.8 -4.54747e-13 9897.39 3641.26 890.833 6816.36
6900 10707.8 161.533 1971.62 0 952.235 7622.44
7000 8568.78 -6.82121e-13 0 0 951.566 7617.22
7100 8321.03 -6.82121e-13 0 0 923.25 7397.78
7200 8978.66 805.023 0 0 950.256 7223.38
7300 9404.68 -5.68434e-13 2000 0 927.65 6477.03
7400 7106.62 296.841 0 0 906.034 5903.75
7500 8415.71 -4.54747e-13 0 0 971.65 7444.06
7600 7858.52 -4.54747e-13 0 0 945.811 6912.71
7700 9981.55 194.062 1335.44 0 938.269 7513.78
7800 8775.58 272.587 0 0 944.082 7558.91
7900 12756.5 191.903 3811.4 1820.63 898.772 6033.78
8000 8673.06 616.648 0 0 935.387 7121.02
8100 14687.8 -4.54747e-13 6306.82 0 930.14 7450.88
8200 14288.4 -4.54747e-13 5824.76 0 939.595 7524.06
8300 12260.7 2004.42 757.996 1820.63 900.402 6777.2
8400 14778.8 -6.25278e-13 3999.98 3641.26 890.519 6247.03
8500 12098.1 -6.32383e-13 2434.35 1820.63 923.307 6919.77
8600 14050.7 3225.72 3847.97 0 884.901 6092.07
8700 11361.2 -9.09495e-13 1999.15 1820.63 911.225 6630.2
8800 7746.89 -9.09495e-13 0 0 924.729 6822.16
8900 11365.3 156.491 3315.43 0 901.973 6991.39
9000 8100.42 156.491 0 0 923.386 7020.54
9100 11500.2 1368.13 1966.8 0 949.293 7215.94
9200 8412.71 -9.09495e-13 0 0 933.771 7478.94
9300 8022.4 83.4524 0 0 940.312 6998.64
9400 8638.63 633.916 0 0 950.461 7054.25
9500 11476.8 -9.09495e-13 3441.84 0 916.73 7118.19
9600 8227.04 -9.09495e-13 0 0 935.005 7292.04
9700 8196.05 582.355 62.5011 0 914.506 6636.69
9800 8119.57 582.355 0 0 912.818 6624.4
9900 10737.3 143.422 649.211 1820.63 920.249 7203.8
10000 10243.3 -6.82121e-13 1956.04 0 939.165 7348.11
10100 13904.5 -6.82121e-13 5816.41 0 896.287 7191.81
10200 8661.39 -6.82121e-13 0 0 962.057 7699.33
10300 9154.13 -4.54747e-13 486.772 0 962.731 7704.63
10400 7247.03 187.245 0 0 882.501 6177.28
10500 7697.77 187.245 704.483 0 891.562 5914.48
10600 8565.5 -5.68434e-13 0 0 969.119 7596.38
10700 9146.82 -4.54747e-13 1999.99 0 904.588 6242.24
10800 8233.12 -4.54747e-13 0 0 951.488 7281.63
10900 9182.14 -4.54747e-13 2218.41 0 887.538 6076.19
11000 6828.47 -4.54747e-13 0 0 886.362 5942.11
11100 9529.16 -4.54747e-13 0 1820.63 929.335 6779.19
11200 12061.3 -4.54747e-13 1999.98 1820.63 935.488 7305.19
11300 14233.7 2152.87 3817.84 0 916.568 7346.47
11400 11030.9 -4.54747e-13 2723.11 0 921.725 7386.05
11500 10383.6 -4.54747e-13 2001.33 0 930.281 7451.97
11600 8240.9 -4.54747e-13 0 0 951.849 7289.05
11700 8499.55 -4.54747e-13 570.582 0 941.795 6987.18
