0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 14300.2 708.796 8304.37 0 817.653 4469.37
200 13508.5 172.156 3092.39 1820.63 956.55 7466.77
300 9837.03 0 1671.83 0 932.567 7232.63
400 8036.6 0 0 0 935.982 7100.62
500 7926.64 0 0 0 923.063 7003.58
600 15719.2 527.133 7358.94 0 893.296 6939.81
700 11748.3 2159.38 1998.69 0 921.207 6669.01
800 10343.5 67.0001 892.4 1820.63 921.072 6642.44
900 9185.51 711.956 1999.98 0 885.244 5588.33
1000 11091.5 608.352 2196.65 0 919.274 7367.23
1100 8796.35 245.437 0 0 969.359 7581.55
1200 10267.6 292.808 1960.96 0 932.478 7081.31
1300 8662.49 -3.41061e-13 0 0 962.181 7700.3
1400 8554.09 123.149 0 0 935.857 7495.09
1500 10364 -3.41061e-13 1959.39 0 932.839 7471.73
1600 9150.35 550.988 0 0 955.035 7644.33
1700 9980.01 -4.54747e-13 1999.98 0 933.761 7046.27
1800 9775.62 -4.54747e-13 1295.25 0 941.503 7538.87
1900 10839.4 -4.54747e-13 2165.74 1820.63 883.543 5969.5
2000 9651.22 -4.54747e-13 1862.6 0 933.139 6855.48
2100 6732.16 -5.11591e-13 0 0 898.422 5833.74
2200 11795 -5.11591e-13 3668.61 1820.63 872.264 5433.48
2300 9579.38 -5.68434e-13 1998.9 0 919.057 6661.42
2400 10563.7 2490.74 0 0 930.089 7142.88
2500 8203.19 -6.82121e-13 248.951 0 916.706 7037.53
2600 8519.51 -6.82121e-13 296.185 0 938.679 7284.65
2700 12104.2 379.392 2206.38 1820.63 918.003 6779.82
2800 9797.82 183.34 1118.15 0 943.323 7553.01
2900 11659.5 -9.09495e-13 1419 1820.63 955.875 7464
3000 10025.5 -9.09495e-13 1980.06 0 933.506 7111.96
3100 8168.64 -9.09495e-13 0 0 956.814 7211.82
3200 7470.45 -9.09495e-13 0 0 931.673 6538.78
3300 10978.1 1266.37 1963.4 0 914.17 6834.14
3400 12752.7 3436.79 2098.03 0 900.148 6317.71
3500 11227.1 1594.94 2089.58 0 904.275 6638.29
3600 8160.25 1011.2 0 0 898.462 6250.58
3700 9633.7 447.476 1047.17 0 928.108 7210.94
3800 10815 2824.71 0 0 945.019 7045.26
3900 7822.96 -9.09495e-13 0 0 941.755 6881.21
4000 8133.37 -9.09495e-13 2000 0 864.492 5268.88
4100 9581.49 -9.09495e-13 1291.86 0 919.636 7370
4200 9755.22 -9.09495e-13 95.8972 1820.63 936.721 6901.97
4300 10724.9 276.417 1973.93 0 940.843 7533.74
4400 16927.1 -9.23706e-13 6209.44 3641.26 877.746 6198.64
4500 13491.9 -9.09495e-13 2405.06 3641.26 911.109 6534.48
4600 10424.4 -9.09495e-13 1976 0 937.849 7510.52
4700 8289.6 -1.13687e-12 1327.25 0 901.939 6060.41
4800 6986.45 -1.36424e-12 0 0 905.8 6080.65
4900 8731.07 -1.36424e-12 0 0 969.918 7761.15
5000 8654.08 -1.36424e-12 49.9487 0 955.576 7648.56
5100 8580.57 -1.36424e-12 0 0 952.903 7627.66
5200 12905.3 499.197 1999.97 3641.26 883.903 5880.98
5300 9892.18 246.955 1978.41 0 928.69 6738.13
5400 15240.8 326.314 6475.45 0 936.778 7502.22
5500 8629.55 -1.47793e-12 0 0 958.455 7671.09
5600 8347.92 -1.47793e-12 0 0 926.34 7421.58
5700 8107.94 -1.36424e-12 0 0 954.954 7152.99
5800 9053.38 -1.36424e-12 1999.99 0 898.704 6154.69
5900 8164.29 -1.36424e-12 0 0 955.003 7209.28
6000 9491.01 -1.36424e-12 1650.09 0 917.043 6923.88
