0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 8698.57 3307.31 0 1820.63 317.832 3252.8
200 7872.65 2863.49 0 0 437.31 4571.86
300 7417.28 4299.53 0 0 327.081 2790.66
400 7417.28 4299.53 0 0 327.081 2790.66
500 7417.28 4299.53 0 0 327.081 2790.66
600 5952.04 2790.89 0 0 329.931 2831.22
700 8374.06 2734.92 0 0 469.258 5169.88
800 8631.28 280.207 326.781 0 535.096 7489.19
900 8702.78 491.75 0 0 556.358 7654.67
1000 8631.09 466.957 0 0 551.038 7613.1
1100 11667.6 3817.28 230.978 0 488.269 7131.12
1200 8034.24 279.24 0 0 504.065 7250.93
1300 8384.35 69.3784 0 0 568.105 7746.87
1400 6217.19 2711.49 0 0 351.914 3153.78
1500 5989.24 2811.64 0 0 331.006 2846.59
1600 6562.74 2927.72 0 0 359.892 3275.13
1700 8600 -1.36424e-12 0 0 600 8000
1800 7772.41 2932.6 0 0 428.387 4411.42
1900 10507 5777.41 0 0 410.366 4319.22
2000 7717.84 2966.59 0 0 423.662 4327.59
2100 7575.98 2716.3 0 0 429.443 4430.24
2200 10763.9 3053.14 0 0 498.92 7211.8
2300 5731.74 2631.59 0 0 325.92 2774.23
2400 8308.64 696.985 0 0 487.364 7124.29
2500 6653.68 2870.59 0 0 368.856 3414.24
2600 8924.99 2829.85 0 0 491.298 5603.85
2700 10879.5 5840.94 0 0 427.425 4611.18
2800 6732.92 2946.59 0 0 369.05 3417.28
2900 7990.18 2957.56 0 0 438.533 4594.09
3000 8056.59 2938.62 0 0 442.963 4675
3100 8717.86 5717.26 0 0 319.289 2681.31
3200 8440.8 2890.96 0 0 464.841 5085
3300 9245.05 5704.19 1992.78 0 206.355 1341.73
3400 7391.51 2910.03 0 0 380.655 4100.83
3500 8736.47 4605.96 0 0 367.765 3762.75
3600 7828.24 2825.03 0 0 436.998 4566.21
3700 9277.49 1576.1 0 0 497.835 7203.56
3800 8526.59 177.46 0 0 571.95 7777.18
3900 8600 9.09495e-13 0 0 600 8000
4000 8199.79 569.402 0 0 489.554 7140.83
4100 8021.84 2891.61 0 0 443.596 4686.63
4200 8424.74 246.119 0 0 552.682 7625.94
4300 10568.8 2311.19 0 0 561.628 7695.97
4400 8600 -1.59162e-12 0 0 600 8000
4500 9400.49 3384.15 0 0 472.451 5543.89
4600 8600 -2.72848e-12 0 0 600 8000
4700 7326.85 2817.16 0 0 410.544 4099.15
4800 8687.08 3749.17 0 0 433.574 4504.34
4900 7657.67 5453.83 1624.86 0 96.9729 482.003
5000 10446.5 4292.36 0 0 448.774 5705.41
5100 7606.4 2790.69 0 0 427.106 4388.61
5200 6615.39 3492.02 0 0 327.451 2795.92
5300 6797.32 2719.48 0 0 386.203 3691.64
5400 7390.07 2834.27 0 0 413.075 4142.73
5500 14622.8 5345.09 1890.95 0 460.899 6925.89
5600 8317.29 2856.26 0 0 460.412 5000.62
5700 8600 -3.18323e-12 0 0 600 8000
5800 7412.31 2596.28 0 0 427.123 4388.91
5900 8259.7 5751.62 0 0 284.782 2223.3
6000 7702.29 1624.78 0 0 490.461 5587.05
6100 7682.39 3397.94 0 0 397.998 3886.45
6200 8600 -2.72848e-12 0 0 600 8000
6300 8388.44 172.935 0 0 556.865 7658.64
6400 11572.2 3527.46 0 0 537.438 7507.33
6500 5805.53 2789.8 0 0 320.303 2695.42
6600 7085.19 2891.29 0 0 392.864 3801.03
6700 7383.35 3477.44 0 0 376.162 3529.75
6800 9816.01 2934.43 0 0 527.476 6354.1
6900 7543.19 4488.58 0 0 322.9 2731.72
7000 6292.64 2845.65 0 0 348.246 3098.75
7100 6292.64 2845.65 0 0 348.246 3098.75
7200 8467.63 2434.04 0 0 468.323 5565.27
7300 9494.56 1289.91 0 0 555.635 7649.01
7400 6076.73 2941.7 0 0 328.218 2806.81
7500 7177.36 1195.87 0 0 485.883 5495.61
7600 6853.19 4020.67 0 0 307.846 2524.67
7700 6856.99 4257.21 0 0 291.441 2308.34
7800 6856.99 4257.21 0 0 291.441 2308.34
7900 7699.16 2962.87 0 0 422.859 4313.43
8000 7699.16 2962.87 0 0 422.859 4313.43
8100 8354.35 168.964 0 0 553.45 7631.93
8200 10635.3 2997.7 0 0 490.399 7147.22
8300 7733.95 261.08 0 0 471.07 7001.8
8400 8600 -6.36646e-12 0 0 600 8000
8500 10820.7 5891.33 1926.6 0 319.433 2683.31
8600 8027.1 2247.63 0 0 445.653 5333.82
8700 7489.77 3254.29 0 0 356.579 3878.9
8800 7244.16 3298.62 0 0 339.927 3605.61
8900 8161.04 3304 0 0 390.502 4466.53
9000 8401.65 170.155 0 0 558.676 7672.82
9100 10111 2029.81 0 0 541.596 7539.59
9200 10765.4 5767.75 1981.2 0 320.351 2696.09
9300 8463.77 2838.46 0 0 468.576 5156.73
9400 8416.5 4668.92 1420.36 0 271.295 2055.93
9500 10691 3479.27 1804.89 1820.63 338.944 3247.22
9600 6680.08 2958.07 0 0 365.179 3356.83
9700 11111.6 2949.17 0 0 550.839 7611.55
9800 6210.61 3404.21 0 0 306.038 2500.36
9900 6241.62 797.866 0 0 430.13 5013.62
10000 6241.62 797.866 0 0 430.13 5013.62
10100 6088.52 3346.54 0 0 301.545 2440.43
10200 5652.77 1850.62 0 0 369.997 3432.16
10300 5652.77 1850.62 0 0 369.997 3432.16
10400 5652.77 1850.62 0 0 369.997 3432.16
10500 7391.6 4283.53 0 0 326.443 2781.63
10600 8464.44 2934.3 0 0 463.861 5066.27
10700 8707.2 2959.58 0 0 474.579 5273.04
10800 10051.5 1852.55 0 0 554.99 7643.97
10900 8433.11 462.543 0 0 528.941 7441.62
11000 8953.73 3827.91 0 0 443.369 4682.45
11100 11480.1 3803.34 0 0 494.96 7181.75
11200 8098.33 2831.54 0 0 450.601 4816.19
11300 6624.05 2789.78 0 0 371.914 3462.35
11400 8014.99 2626.26 0 0 456.781 4931.95
11500 8645.27 625.768 0 0 534.548 7484.95
11600 8600 -1.81899e-12 0 0 600 8000
11700 8600 -1.81899e-12 0 0 600 8000
11800 11795.7 3888.05 0 0 521.711 7385.95
11900 7088.11 2940.33 0 0 390.228 3757.55
12000 8386.94 241.234 0 0 548.944 7596.76
12100 6110.88 2863.79 0 0 335.52 2911.57
12200 6630.68 720.604 0 0 482.455 5427.62
12300 8673.95 4468.01 0 0 381.834 3824.11
12400 6773.52 901.198 0 0 480.634 5391.68
12500 5994.31 3705.33 0 0 268.379 2020.6
12600 5994.31 3705.33 0 0 268.379 2020.6
12700 5994.31 3705.33 0 0 268.379 2020.6
12800 9354.39 6780.19 0 0 289.595 2284.6
12900 8600 -2.27374e-12 0 0 600 8000
13000 7093.38 2953.02 0 0 389.802 3750.55
13100 7120.5 2878.34 0 0 395.608 3846.55
13200 8262.52 2909.57 0 0 454.975 4897.98
13300 8042.55 2949.02 0 0 441.698 4651.83
13400 8600 0 0 0 600 8000
13500 9471.42 5377.22 1878.08 0 262.757 1953.36
13600 8670.16 292.875 0 0 575.116 7802.17
13700 9070.69 1285.33 0 0 507.587 7277.77
