0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 6787.97 2853.49 0 0 377.845 3556.64
200 8374.66 4624.96 0 0 352.146 3397.55
300 8986 2827.27 0 0 494.306 5664.43
400 7898.02 2675.25 0 0 448.353 4774.42
500 7898.02 2675.25 0 0 448.353 4774.42
600 10784.9 2585.86 0 0 554.994 7644.01
700 6159.5 2929.09 0 0 334.441 2895.97
800 10218.6 3189.92 0 1820.63 432.941 4775.1
900 7193.34 2826.23 0 0 402.64 3964.47
1000 8244.84 4636.71 0 0 358.245 3249.89
1100 9062.86 664.134 0 0 577.524 7821.21
1200 8487.43 352.19 0 0 547.753 7587.49
1300 7926.41 2950.29 0 0 435.58 4540.54
1400 6740.6 870.672 0 0 480.518 5389.41
1500 8713.48 690.825 0 0 534.909 7487.75
1600 8855.47 2392.41 0 0 508.494 5954.57
1700 8600 1.81899e-12 0 0 600 8000
1800 6404.98 2945.5 0 0 349.029 3110.45
1900 10001.9 5321.14 0 0 395.281 4285.51
2000 6136.83 2623.25 0 0 352.405 3161.18
2100 12543 3342.2 1090.22 0 544.943 7565.6
2200 8290.43 43.6569 0 0 560.404 7686.37
2300 8889.38 2955.78 0 0 483.587 5450.02
2400 8063.95 2946.32 0 0 442.945 4674.68
2500 7638.84 2892.63 0 0 423.391 4322.82
2600 12482.7 4799.8 0 0 495.682 7187.22
2700 6768.46 2856.86 0 0 376.498 3535.11
2800 6889.94 2945.68 0 0 378.42 3565.84
2900 8080.01 2844.39 0 0 449.01 4786.61
3000 8211.84 165.456 0 0 537.623 7508.77
3100 8459 629.414 0 0 512.705 7316.88
3200 8077.94 2880.59 0 0 422.406 4774.95
3300 13081.9 5566.83 3.63243 0 475.614 7035.85
3400 8150.81 2718.88 0 0 458.954 4972.98
3500 8122.2 2672.82 0 0 459.828 4989.55
3600 8122.2 2672.82 0 0 459.828 4989.55
3700 7679.94 2941.5 0 0 422.974 4315.46
3800 10925.2 2931.34 0 0 531.617 7462.29
3900 8714.73 2943 0 0 475.755 5295.97
4000 6377.96 2924.62 0 0 348.645 3104.7
4100 8600 6.36646e-12 0 0 600 8000
4200 9450.66 979.438 0 0 585.646 7885.58
4300 8580.93 2855.68 0 0 473.486 5251.76
4400 7471.67 2848.41 0 0 416.753 4206.51
4500 8431.89 822.808 0 0 487.064 7122.02
4600 9573.28 1213.92 0 0 573.101 7786.25
4700 10954.4 2841.3 0 0 545.229 7567.83
4800 8306.65 226.128 0 0 541.52 7539
4900 9520.83 1359.57 285.166 0 518.075 7358.02
5000 8072.78 614.227 0 0 469.381 6989.17
5100 8302.41 4.99416 0 0 566.124 7731.29
5200 8302.41 4.99416 0 0 566.124 7731.29
5300 10593.5 606.215 1898.18 0 542.501 7546.62
5400 9726.2 1699.92 0 0 535.324 7490.96
5500 7978.83 2885.08 0 0 441.71 4652.04
5600 8287.99 2662.29 0 0 468.595 5157.1
5700 8541.22 380.843 0 0 550.611 7609.77
5800 8797.85 3124.9 0 0 447.201 5225.75
5900 11154.7 3108.85 0 0 537.565 7508.32
6000 8828.94 2940.56 0 0 481.409 5406.97
6100 10566.4 6720.5 1962.24 0 235.89 1647.73
6200 12573.7 7258.66 1869.39 0 332.177 3113.51
6300 8639.09 2966.21 0 0 470.919 5201.97
6400 8600 9.09495e-12 0 0 600 8000
6500 8600 9.54969e-12 0 0 600 8000
6600 8600 1.00044e-11 0 0 600 8000
6700 7316.09 2716.38 0 0 415.472 4184.24
6800 7426.24 2799.35 0 0 416.95 4209.94
6900 8183.01 2586.57 0 0 467.15 5129.29
7000 8600 1.13687e-11 0 0 600 8000
7100 7693.47 2892.88 0 0 426.3 4374.29
7200 8484.94 487.084 0 0 532.069 7465.78
7300 6455.45 2842.48 0 0 358.541 3254.43
7400 6412.85 2827.49 0 0 356.845 3228.52
7500 7562.65 1459.38 0 0 491.683 5611.58
7600 7180.77 2645.88 0 0 411.928 4122.96
7700 6039.39 2817.11 0 0 333.914 2888.36
7800 10814.4 2993.18 0 0 511.743 7309.52
7900 8603.94 461.15 0 0 548.612 7594.18
8000 8600 1.06866e-11 0 0 600 8000
8100 8452.9 78.4388 0 0 574.798 7799.66
8200 9322.87 2988.75 0 0 473.992 5860.13
8300 8326.81 126.737 0 0 555.116 7644.96
8400 8304.63 87.1126 0 0 557.093 7660.43
8500 11516.8 3608.66 0 0 521.771 7386.41
8600 6539.88 2837.22 0 0 364.008 3338.65
8700 6278.94 2854.77 0 0 346.812 3077.36
8800 6278.94 2854.77 0 0 346.812 3077.36
8900 9013.79 683.111 0 0 569.874 7760.8
9000 10007.4 6878.95 1893.74 0 175.87 1058.84
9100 8600 7.27596e-12 0 0 600 8000
9200 9400.25 1158.46 0 0 559.84 7681.94
9300 11287.2 2830.7 0 0 583.997 7872.49
9400 7215.38 2920 0 0 398.615 3896.77
9500 8018.53 2001.24 0 0 487.594 5529.7
9600 6228.79 2849.16 0 0 343.999 3035.63
9700 6228.79 2849.16 0 0 343.999 3035.63
