0 10000 eBorder  ePair  eHDiff eLCR  eFAR
0 10000 0 0 0 5000 5000
100 8600 9.09495e-13 0 0 600 8000
200 8600 9.09495e-13 0 0 600 8000
300 11726 4088.32 0 0 490.401 7147.23
400 11080.2 1660.82 1942.93 0 471.489 7004.95
500 12739.5 5804.44 0 0 406.704 6528.36
600 7770.34 2946.81 0 0 427.522 4396.01
700 8143.05 2896.73 0 0 431.903 4814.41
800 13470.9 5363.21 0 0 544.621 7563.1
900 8303.44 2824.91 0 0 461.288 5017.24
1000 8600 -3.63798e-12 0 0 600 8000
1100 8851.73 5810.4 1861.59 0 170.161 1009.57
1200 8600 -3.18323e-12 0 0 600 8000
1300 9822.99 2359.04 0 0 470.018 6993.93
1400 10208.2 1915.96 0 0 565.537 7726.67
1500 7376.9 2609.71 0 0 424.515 4342.68
1600 7430.07 2874.68 0 0 413.052 4142.34
1700 8371.87 2779.01 0 0 466.973 5125.88
1800 8078.3 392.988 0 0 495.963 7189.35
1900 10032.2 1854.45 0 0 552.579 7625.13
2000 5801.06 2612.98 0 0 331.69 2856.39
2100 5801.06 2612.98 0 0 331.69 2856.39
2200 5801.06 2612.98 0 0 331.69 2856.39
2300 6390.64 2753.44 0 0 360.025 3277.18
2400 8515.17 2962.09 0 0 465.001 5088.07
2500 11030.7 3074.94 0 0 527.24 7428.51
2600 8478.09 340.317 0 0 548.042 7589.74
2700 8895.89 2812.15 0 0 490.757 5592.98
2800 7327.12 2754.06 0 0 414.018 4159.04
2900 8040.75 2830.25 0 0 447.725 4762.77
3000 9414.07 5851.3 1859.72 0 220.34 1482.71
3100 9211.32 4770.07 0 0 378.859 4062.4
3200 8532.15 5879.97 17.7233 0 293.929 2340.53
3300 6015.71 2956.49 0 0 323.206 2736.01
3400 9103.9 5915.49 1979.02 0 173.257 1036.14
3500 8259.23 74.7533 0 0 553.347 7631.13
3600 10190.4 1909.87 0 0 564.22 7716.32
3700 6695.61 2941.69 0 0 367.103 3386.81
3800 7037.24 2950.44 0 0 386.72 3700.07
3900 8855.5 2700.33 0 0 494.138 5661.03
4000 6025.73 2794.98 0 0 334.463 2896.29
4100 10296.9 5518.51 0 0 406.046 4372.32
4200 9028.27 2876.67 0 0 493.969 5657.63
4300 7071.2 2934.54 0 0 389.59 3747.06
4400 6413.63 2826.14 0 0 356.976 3230.51
4500 6413.63 2826.14 0 0 356.976 3230.51
4600 10465.2 2110.25 0 0 572.606 7782.35
4700 8263.17 2780.15 0 0 461.512 5021.5
4800 8600 -1.7053e-12 0 0 600 8000
4900 8600 -4.54747e-12 0 0 600 8000
5000 8634.38 2721.97 0 0 482.567 5429.84
5100 8600 -4.09273e-12 0 0 600 8000
5200 5817.89 2801.5 0 0 320.348 2696.04
5300 8103.36 5765.42 1863.65 0 81.1252 393.164
5400 7372.7 2950.43 0 0 405.712 4016.55
5500 6841.31 2838.94 0 0 381.822 3620.55
5600 7164.98 2892.65 0 0 397.314 3875.01
5700 7141.98 2756 0 0 403.693 3982.29
5800 6991.72 2652.26 0 0 401.092 3938.37
5900 8846.19 5810.21 1955.84 0 159.491 920.65
6000 7989.65 3060.73 0 1820.63 315.158 2793.14
6100 5845.05 2632.17 0 0 333.304 2879.57
6200 9732.84 3594.06 1240.96 1820.63 309.716 2767.47
6300 5845.05 2632.17 0 0 333.304 2879.57
6400 10180.3 5807.29 1993.52 0 275.245 2104.26
6500 9391.36 3398.31 0 0 471.418 5521.63
6600 8228.42 2282.91 0 0 465.191 5480.33
6700 7224.79 2719.66 0 0 410.294 4094.84
6800 10485.8 5565.05 0 0 400.077 4520.68
6900 6309.42 2930.46 0 0 343.956 3035
7000 6309.42 2930.46 0 0 343.956 3035
7100 5928.15 2622.29 0 0 339.3 2966.56
7200 7486.99 2880.58 0 0 415.837 4190.58
7300 11458.8 9049.97 1889 0 88.1854 431.625
7400 9929.5 4507.82 0 1820.63 331.657 3269.39
7500 8718.1 3123.36 0 1820.63 344.78 3429.33
7600 6969.78 2958.58 0 0 382.336 3628.87
7700 7967.65 144.519 0 0 511.958 7311.17
7800 8737.57 2451.82 0 0 500.269 5785.48
7900 6724.97 2758.51 0 0 379.722 3586.74
8000 11143.6 3086.8 0 0 538.809 7517.96
8100 6758.09 2840.26 0 0 376.865 3540.97
8200 9457.05 5727.6 1959.9 0 226.155 1543.4
8300 7615.71 2775.39 0 0 428.415 4411.91
8400 8657.18 594.721 0 0 539.459 7523
8500 7081.27 1048.87 0 0 488.315 5544.08
8600 8554.01 3291.44 0 0 420.925 4841.64
8700 8558.1 2954.85 0 0 467.487 5135.76
8800 5948.28 2908.6 0 0 321.904 2717.77
8900 8518.46 2928.4 0 0 466.835 5123.23
9000 6875.1 2955.17 0 0 376.988 3542.94
9100 6390.09 2874.41 0 0 352.535 3163.15
9200 5398.5 3536.57 0 0 234.061 1627.87
9300 6543.48 1156.25 0 0 413.87 4973.36
9400 5452.66 3483.91 0 0 242.972 1725.77
9500 5452.66 3483.91 0 0 242.972 1725.77
9600 8956.57 3400.43 0 0 436.839 5119.3
9700 6552.95 662.158 0 0 481.526 5409.27
9800 8674.8 2378.11 0 0 500.779 5795.91
9900 10010.4 1743.25 0 0 562.703 7704.41
10000 10027.4 1584.6 0 0 582.468 7860.36
10100 6627.87 2851.67 0 0 368.442 3407.76
10200 7870.62 2816.33 0 0 439.662 4614.63
10300 7740.14 3786.89 0 0 378.948 3574.3
10400 8282.66 5156.95 0 0 327.605 2798.1
10500 6628.22 2838.61 0 0 369.246 3420.36
10600 8512.18 2948.44 0 0 465.53 5098.21
